disk_tb,hitrate_pct,p50_ms,p95_ms
606.0,81.8998,46.1900,174.8300
607.0,81.8999,46.1900,174.8300
608.0,81.9000,46.1900,174.8300
609.0,81.9052,46.1800,174.8200
610.0,81.9142,46.1700,174.8100
611.0,81.9232,46.1700,174.7900
612.0,81.9322,46.1600,174.7800
613.0,81.9411,46.1500,174.7600
614.0,81.9501,46.1500,174.7500
615.0,81.9592,46.1400,174.7400
616.0,81.9681,46.1300,174.7200
617.0,81.9771,46.1200,174.7100
618.0,81.9861,46.1200,174.6900
619.0,81.9950,46.1100,174.6800
620.0,82.0892,46.0400,174.5300
621.0,82.0899,46.0300,174.5300
622.0,82.0906,46.0300,174.5300
623.0,82.0914,46.0300,174.5300
624.0,82.0921,46.0300,174.5300
625.0,82.0929,46.0300,174.5300
626.0,82.0936,46.0300,174.5300
627.0,82.0943,46.0300,174.5300
628.0,82.0951,46.0300,174.5200
629.0,82.0958,46.0300,174.5200
630.0,82.0966,46.0300,174.5200
631.0,82.0973,46.0300,174.5200
632.0,82.0980,46.0300,174.5200
633.0,82.0988,46.0300,174.5200
634.0,82.0995,46.0300,174.5200
635.0,82.1802,45.9700,174.3900
636.0,82.1807,45.9700,174.3900
637.0,82.1813,45.9600,174.3900
638.0,82.1819,45.9600,174.3900
639.0,82.1824,45.9600,174.3900
640.0,82.1830,45.9600,174.3900
641.0,82.1835,45.9600,174.3900
642.0,82.1841,45.9600,174.3800
643.0,82.1847,45.9600,174.3800
644.0,82.1852,45.9600,174.3800
645.0,82.1858,45.9600,174.3800
646.0,82.1863,45.9600,174.3800
647.0,82.1869,45.9600,174.3800
648.0,82.1875,45.9600,174.3800
649.0,82.1880,45.9600,174.3800
650.0,82.1886,45.9600,174.3800
651.0,82.1891,45.9600,174.3800
652.0,82.1897,45.9600,174.3800
653.0,82.1903,45.9600,174.3700
654.0,82.1908,45.9600,174.3700
655.0,82.1914,45.9600,174.3700
656.0,82.1919,45.9600,174.3700
657.0,82.1925,45.9600,174.3700
658.0,82.1931,45.9600,174.3700
659.0,82.1936,45.9600,174.3700
660.0,82.1942,45.9600,174.3700
661.0,82.1948,45.9600,174.3700
662.0,82.1953,45.9500,174.3700
663.0,82.1959,45.9500,174.3700
