iteration=1
BUF, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=13073.38, p50=41.9050, p95=130.3590, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
CLT, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=56258.81, p50=35.4420, p95=119.0970, cost_gradient=76.3510, perf_gradient=0.0000, overall_gradient=76.3510
ORD, disk_mb=97825600.00, hitrate=79.80, cost=4789.51, perf_penalty=12378.26, p50=27.8440, p95=112.6530, cost_gradient=19.1498, perf_gradient=-1003.8479, overall_gradient=-984.6981
CVG, disk_mb=39923520.00, hitrate=66.19, cost=804.07, perf_penalty=21068.76, p50=36.8050, p95=117.6470, cost_gradient=36.0939, perf_gradient=-352.6272, overall_gradient=-316.5332
CLE, disk_mb=79478400.00, hitrate=79.93, cost=2577.59, perf_penalty=3322.96, p50=29.4950, p95=103.4970, cost_gradient=26.4636, perf_gradient=-217.8286, overall_gradient=-191.3649
CMH, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=35468.93, p50=39.8910, p95=123.5790, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
DFW, disk_mb=73638720.00, hitrate=74.49, cost=4521.17, perf_penalty=5187.35, p50=23.9890, p95=114.2590, cost_gradient=38.8958, perf_gradient=-211.4210, overall_gradient=-172.5252
DEN, disk_mb=54207040.00, hitrate=70.61, cost=1419.50, perf_penalty=15172.58, p50=31.1060, p95=117.4610, cost_gradient=38.4009, perf_gradient=-714.0135, overall_gradient=-675.6126
DET, disk_mb=93478400.00, hitrate=82.18, cost=1853.84, perf_penalty=30008.13, p50=33.9220, p95=117.5020, cost_gradient=11.3082, perf_gradient=-649.7785, overall_gradient=-638.4703
HNL, disk_mb=129968320.00, hitrate=84.56, cost=1552.99, perf_penalty=4501.36, p50=31.3580, p95=165.9370, cost_gradient=46.9278, perf_gradient=-155.2272, overall_gradient=-108.2994
