iteration=1
PDX, disk_mb=98024320.00, hitrate=75.70, cost=2231.68, perf_penalty=295.69, p50=25.3840, p95=110.0660, cost_gradient=24.3977, perf_gradient=-18.5208, overall_gradient=5.8769
PVD, disk_mb=0.00, hitrate=11.30, cost=0.00, perf_penalty=140.32, p50=27.0060, p95=110.1780, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
RDU, disk_mb=0.00, hitrate=17.50, cost=0.00, perf_penalty=12854.12, p50=38.3920, p95=120.6550, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
ROC, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=3863.12, p50=41.9540, p95=131.8470, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SAC, disk_mb=31813760.00, hitrate=60.28, cost=1010.27, perf_penalty=5402.79, p50=35.8950, p95=125.8890, cost_gradient=36.4182, perf_gradient=-253.7483, overall_gradient=-217.3302
STL, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=3830.77, p50=33.3510, p95=120.4880, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SLC, disk_mb=0.00, hitrate=11.60, cost=0.00, perf_penalty=27500.86, p50=47.2170, p95=141.0560, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SAT, disk_mb=0.00, hitrate=23.30, cost=0.00, perf_penalty=6758.92, p50=35.6670, p95=121.6060, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SAN, disk_mb=29848640.00, hitrate=59.70, cost=954.95, perf_penalty=5411.92, p50=34.0910, p95=120.3610, cost_gradient=5.2248, perf_gradient=-190.8073, overall_gradient=-185.5825
SJC, disk_mb=73139840.00, hitrate=73.85, cost=3086.58, perf_penalty=3811.37, p50=28.2060, p95=124.2800, cost_gradient=33.9402, perf_gradient=-602.1625, overall_gradient=-568.2223
SJU, disk_mb=63758080.00, hitrate=61.81, cost=1450.88, perf_penalty=7713.25, p50=46.5120, p95=157.7490, cost_gradient=-2.8340, perf_gradient=-741.5098, overall_gradient=-744.3439
SEA, disk_mb=77159040.00, hitrate=71.19, cost=2845.42, perf_penalty=4704.97, p50=31.0770, p95=122.6510, cost_gradient=94.0377, perf_gradient=-331.3900, overall_gradient=-237.3523
SYR, disk_mb=0.00, hitrate=9.50, cost=0.00, perf_penalty=7170.16, p50=44.6780, p95=135.6800, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
TPA, disk_mb=0.00, hitrate=10.40, cost=0.00, perf_penalty=3147.65, p50=32.1620, p95=120.9670, cost_gradient=76.3510, perf_gradient=0.0000, overall_gradient=76.3510
IAD, disk_mb=55784320.00, hitrate=69.03, cost=4405.26, perf_penalty=0.00, p50=12.6670, p95=88.6240, cost_gradient=24.7632, perf_gradient=0.0000, overall_gradient=24.7632
HVN, disk_mb=0.00, hitrate=11.30, cost=0.00, perf_penalty=15.08, p50=22.2100, p95=107.3570, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
OMA, disk_mb=34422400.00, hitrate=64.35, cost=946.50, perf_penalty=2060.58, p50=31.9610, p95=118.3780, cost_gradient=9.4739, perf_gradient=-175.8541, overall_gradient=-166.3802
RIC, disk_mb=26513600.00, hitrate=57.06, cost=746.72, perf_penalty=5255.65, p50=35.2530, p95=119.4290, cost_gradient=15.7897, perf_gradient=-204.8916, overall_gradient=-189.1020
TUS, disk_mb=0.00, hitrate=13.80, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
JAX, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=4889.07, p50=34.1870, p95=124.6520, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
BNA, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=6161.60, p50=35.1100, p95=122.0880, cost_gradient=76.3510, perf_gradient=0.0000, overall_gradient=76.3510
